,Hotel_Name,Reviewer_Nationality,Review_Date,Reviewer_Score
85045,Royal Garden Hotel, United Arab Emirates ,1/28/2016,10.0
272236,Apollo Hotel Amsterdam, Turkey ,2/14/2016,9.2
456571,W Amsterdam, United Kingdom ,2/23/2017,10.0
220457,Newhotel Roblin, Switzerland ,4/19/2017,9.6
294556,Holiday Inn London Regent s Park, United Kingdom ,5/5/2017,9.2
40824,Ambassadors Bloomsbury, United Kingdom ,3/5/2017,9.2
158007,Best Western Maitrise Hotel Edgware Road, United Kingdom ,7/5/2016,2.5
257279,88 Studios, United Kingdom ,10/9/2016,9.2
166341,Strand Palace Hotel, United Kingdom ,3/5/2017,10.0
455464,Hilton London Canary Wharf, United Kingdom ,10/10/2015,9.6
72499,Park Avenue Baker Street, United Kingdom ,7/19/2016,5.8
366498,Hotel Rathaus Wein Design, Israel ,3/27/2016,8.0
453019,Best Western Plus Hotel Blue Square, Indonesia ,4/6/2017,5.4
361154,Eurostars Ramblas, United States of America ,10/30/2015,9.6
395719,Hotel Beethoven Wien, South Africa ,9/19/2015,9.2
116762,Holiday Inn Paris Montmartre, United Kingdom ,8/20/2015,7.5
414836,Olivia Plaza Hotel, Australia ,1/10/2017,10.0
60259,Clayton Crown Hotel London, United Kingdom ,1/14/2016,9.2
384735,Fleming s Conference Hotel Wien, Cyprus ,2/22/2016,10.0
238561,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,6/7/2016,10.0
1867,Apex Temple Court Hotel, United Kingdom ,12/22/2015,10.0
92258,Park Lane Mews Hotel, Hungary ,10/12/2016,10.0
109738,London Marriott Hotel West India Quay, Ireland ,10/13/2015,9.2
177323,Holiday Inn Paris Notre Dame, United Kingdom ,9/28/2016,8.3
473926,UNA Hotel Century, United Kingdom ,8/17/2016,10.0
175729,DoubleTree by Hilton Hotel London Marble Arch, United Kingdom ,2/9/2016,10.0
80948,Radisson Blu Edwardian Sussex, United Kingdom ,3/1/2016,5.0
314775,Primero Primera, Switzerland ,1/19/2016,7.5
55956,The Leonard Hotel, Switzerland ,3/8/2016,8.8
255559,Best Western Plus Seraphine Hammersmith Hotel, United Kingdom ,3/21/2016,8.3
49834,The Bailey s Hotel London, France ,8/2/2016,9.6
11378,Crowne Plaza London Kings Cross, Australia ,6/17/2017,9.2
92277,Park Lane Mews Hotel, United Kingdom ,9/8/2016,5.4
466199,Amba Hotel Charing Cross, Thailand ,9/30/2015,9.2
404423,Hotel Principe Di Savoia, United Arab Emirates ,12/5/2016,8.8
21992,Maison Souquet, Denmark ,2/18/2016,10.0
160327,Radisson Blu Edwardian Berkshire, Switzerland ,11/19/2015,9.2
417097,London Marriott Maida Vale, United Kingdom ,12/8/2015,3.8
23354,Pullman London St Pancras, United Kingdom ,4/26/2016,5.8
192917,St Martins Lane A Morgans Original, United Kingdom ,8/1/2017,10.0
23028,The Victoria, Sweden ,9/8/2015,8.3
168677,H tel De Castiglione, United Kingdom ,6/1/2017,7.9
489094,Hotel Da Vinci, United Kingdom ,5/12/2016,9.6
163942,Nottingham Place Hotel, Australia ,10/3/2015,8.3
462892,The Savoy, United Kingdom ,2/7/2017,9.6
259053,Hotel Moonlight, United States of America ,3/10/2017,9.2
502619,Boutique Hotel Notting Hill, United Kingdom ,5/1/2016,10.0
164579,Strand Palace Hotel, United Kingdom ,3/10/2017,7.1
293624,Hotel Barcelona Catedral, Canada ,4/11/2017,7.9
206489,Hotel Le Mareuil, Singapore ,12/15/2015,9.2
452292,Sloane Square Hotel, Kuwait ,7/28/2016,8.8
82037,Pullman Paris Montparnasse, Cambodia ,7/12/2017,8.3
132508,Grand Pigalle Hotel, United Kingdom ,10/25/2016,9.2
74030,The Park City Grand Plaza Kensington Hotel, United Kingdom ,8/19/2016,10.0
147181,The Marble Arch London, Kuwait ,9/8/2015,5.4
48330,Park Grand London Lancaster Gate, Hong Kong ,8/22/2016,7.5
322002,DoubleTree By Hilton London Excel, Switzerland ,7/7/2017,8.3
326789,Durrants Hotel, United Kingdom ,8/15/2016,5.4
80802,Radisson Blu Edwardian Sussex, United States of America ,1/29/2017,6.3
296918,Thistle Euston, United Kingdom ,11/8/2015,5.8
88955,H tel Regina, Montenegro ,2/17/2017,8.3
448273,Hotel Am Schubertring, Greece ,7/18/2016,8.8
289117,Hotel ViennArt am Museumsquartier, Germany ,6/3/2017,3.3
378831,Leonardo Hotel Vienna, United Kingdom ,10/25/2015,9.5
60504,Clayton Crown Hotel London, United Kingdom ,3/16/2017,9.2
92940,The Drayton Court Hotel, Ireland ,5/30/2017,9.2
222351,DoubleTree by Hilton London Islington, United Kingdom ,6/12/2017,6.7
106921,H tel Brighton Esprit de France, Netherlands ,4/7/2016,9.6
79900,Courthouse Hotel London, Pakistan ,9/5/2015,8.3
430737,Le Meridien Vienna, Lebanon ,12/26/2016,6.3
159716,Hotel Saint Petersbourg Opera, United Kingdom ,11/20/2016,10.0
99100,Twenty Nevern Square Hotel, United States of America ,3/26/2016,9.2
306501,NH Collection Amsterdam Grand Hotel Krasnapolsky, Indonesia ,1/11/2017,9.2
501583,Arthotel ANA Boutique Six, Belgium ,6/1/2016,9.2
72976,Park Avenue Baker Street, United Kingdom ,8/26/2015,7.1
511246,Hotel Prinz Eugen, Portugal ,2/3/2016,8.3
132019,Bloomsbury Palace Hotel, Canada ,9/30/2015,7.5
283038,Olivia Balmes Hotel, United States of America ,3/8/2017,10.0
378075,NH Collection Wien Zentrum, Romania ,12/28/2015,10.0
4069,The Principal London, Sweden ,2/11/2016,7.9
223304,Rydges Kensington Hotel, Australia ,5/24/2017,9.6
264582,Radisson Blu Edwardian Kenilworth, United Kingdom ,10/17/2016,8.8
147304,H tel du Minist re, United States of America ,4/25/2017,10.0
78202,H tel Horset Op ra Best Western Premier Collection, United States of America ,7/14/2016,9.6
389901,Aloft London Excel, United Kingdom ,6/5/2017,8.8
70951,H tel Bedford, Jordan ,10/16/2016,8.3
69737,Millennium Hotel London Knightsbridge, United Kingdom ,5/17/2016,8.3
300958,Holiday Inn London Bloomsbury, United Kingdom ,8/2/2017,9.2
52193,Hilton London Paddington, Ireland ,3/13/2017,10.0
258538,Radisson Blu Edwardian Bloomsbury Street, United Kingdom ,3/16/2017,7.1
216863,Dorsett Shepherds Bush, United Kingdom ,5/1/2016,10.0
432205,Negresco Princess 4 Sup, Netherlands ,2/28/2017,8.3
417916,The Langham London, United Kingdom ,11/29/2015,10.0
336523,Pertschy Palais Hotel, Australia ,3/11/2017,5.4
508393,Hotel du Vin Cannizaro House Wimbledon, United Kingdom ,10/23/2016,10.0
29940,Park Plaza Sherlock Holmes London, United Kingdom ,5/31/2016,7.9
128733,Park Grand Paddington Court, Lebanon ,7/17/2016,7.1
371321,Hampshire Hotel The Manor Amsterdam, United Kingdom ,7/20/2016,8.8
35859,Ashburn Hotel, United States of America ,7/7/2016,8.8
71792,Novotel London Greenwich, United Kingdom ,6/7/2016,10.0
480203,Best Western Hotel Ascot, Israel ,11/11/2015,10.0
116262,Henry VIII, Netherlands ,8/20/2015,5.8
167302,Strand Palace Hotel, United Kingdom ,5/31/2016,10.0
272305,Apollo Hotel Amsterdam, South Africa ,10/27/2015,7.5
382276,Eurostars Grand Marina Hotel GL, Colombia ,12/29/2015,8.8
14938,Intercontinental London The O2, United Kingdom ,6/3/2017,9.6
189417,St George s Hotel Wembley, United Kingdom ,10/5/2016,10.0
451602,Hotel Esther a, United Kingdom ,5/12/2016,8.8
332142,Hotel Palace GL, United States of America ,8/2/2016,10.0
472095,Camperio House Suites Apartments, Egypt ,7/28/2016,10.0
310388,Jaz Amsterdam, United States of America ,12/9/2015,9.2
423828,Catalonia Park Putxet, United Kingdom ,10/6/2016,4.6
412988,W Barcelona, United States of America ,1/13/2016,7.5
111014,H tel France d Antin Op ra, Italy ,6/26/2017,6.7
272449,Catalonia Catedral, United Kingdom ,6/30/2016,10.0
490273,Hotel Da Vinci, Turkey ,8/15/2015,9.6
383077,Mercure Amsterdam Sloterdijk Station, United Kingdom ,4/9/2016,5.8
290831,Amba Hotel Marble Arch, Kuwait ,1/7/2017,10.0
240062,Hotel Ares Eiffel, Australia ,10/23/2015,9.6
472695,UNA Hotel Cusani, Saudi Arabia ,8/13/2015,7.9
212133,Fifty Four Boutique Hotel, Ukraine ,1/19/2016,7.9
365061,Lancaster London, United Kingdom ,6/12/2017,9.6
500953,NH Danube City, Austria ,1/5/2017,8.3
369498,Hampshire Hotel Amsterdam American, United Kingdom ,1/26/2016,7.9
145209,The Queens Gate Hotel, United Kingdom ,8/15/2016,8.8
430058,Appartement Hotel an der Riemergasse, United Kingdom ,8/18/2016,9.6
333417,The Cumberland A Guoman Hotel, United Kingdom ,3/1/2016,8.3
221127,Hotel Maison FL, Poland ,5/10/2016,9.6
445731,Austria Trend Hotel Park Royal Palace Vienna, Serbia ,9/30/2015,7.9
456907,NH City Centre Amsterdam, United States of America ,8/2/2016,10.0
209096,The Montcalm At Brewery London City, United Kingdom ,2/27/2016,8.8
224911,Club Quarters Hotel Lincoln s Inn Fields, Belgium ,11/24/2015,9.2
116102,Henry VIII, Italy ,3/19/2016,7.5
160999,Pestana Chelsea Bridge Hotel Spa, United Kingdom ,5/16/2017,9.5
505143,Park Plaza Westminster Bridge London, Czech Republic ,6/17/2016,7.5
457766,The Tower A Guoman Hotel, United Kingdom ,3/5/2017,10.0
241492,Mercure London Bridge, United Kingdom ,4/26/2016,8.8
186183,Grange Strathmore Hotel, United States of America ,10/7/2015,4.6
352804,Hotel Imperial A Luxury Collection Hotel, Canada ,1/3/2016,8.8
418554,Grand Hotel Amr th Amsterdam, Georgia ,5/30/2016,9.2
14266,Novotel London West, United Kingdom ,10/4/2016,10.0
166253,Strand Palace Hotel, United Kingdom ,4/2/2017,10.0
450414,Hotel Esther a, United Kingdom ,1/23/2017,8.8
393701,Sofitel Legend The Grand Amsterdam, Canada ,5/3/2017,9.2
238298,DoubleTree by Hilton Hotel London Tower of London, United States of America ,8/31/2016,9.0
302163,Holiday Inn London Bloomsbury, United Kingdom ,8/9/2015,6.7
339096,WestCord Fashion Hotel Amsterdam, Hungary ,4/6/2017,7.1
234568,Hotel de Nell, Russia ,9/2/2015,8.3
461259,Amsterdam Marriott Hotel, Lebanon ,5/11/2016,8.8
290160,Amba Hotel Marble Arch, Kuwait ,7/9/2017,7.5
362710,Hilton London Wembley, United Kingdom ,8/19/2016,9.6
370830,25hours Hotel beim MuseumsQuartier, Germany ,5/24/2016,6.3
363015,Hilton London Wembley, United Kingdom ,3/22/2016,9.6
372079,Vincci Maritimo, Colombia ,7/24/2016,9.2
369858,Hampshire Hotel Amsterdam American, Singapore ,11/26/2016,7.9
273892,Urban Lodge Hotel, Luxembourg ,8/3/2017,7.1
121723,Best Western Nouvel Orl ans Montparnasse, Ukraine ,5/27/2017,10.0
443462,Copthorne Tara Hotel London Kensington, United Kingdom ,8/2/2016,8.3
356900,Great Northern Hotel A Tribute Portfolio Hotel London, United Kingdom ,3/27/2017,8.3
488014,Hotel Manzoni, Switzerland ,4/24/2016,9.6
209951,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom ,2/15/2017,7.1
503471,Crowne Plaza London Ealing, United Kingdom ,10/13/2015,9.6
320665,St Pancras Renaissance Hotel London, Australia ,10/27/2015,7.9
259958,Relais H tel du Vieux Paris, United States of America ,10/30/2015,10.0
122194,The Nadler Kensington, Australia ,7/17/2016,10.0
27767,The Grosvenor, United States of America ,10/8/2015,8.3
260694,Holiday Inn Paris Saint Germain des Pr s, Malaysia ,3/24/2016,8.8
385538,De L Europe Amsterdam, Panama ,2/7/2016,9.6
471896,Brunelleschi Hotel, United Arab Emirates ,12/27/2015,10.0
505055,Park Plaza Westminster Bridge London, United Kingdom ,7/28/2016,7.9
311728,Best Western Premier Hotel Couture, United Kingdom ,1/12/2016,9.2
27059,The Grosvenor, Sweden ,6/21/2017,7.9
243582,Park Grand London Hyde Park, Netherlands ,11/10/2015,7.5
444556,Copthorne Tara Hotel London Kensington, United Kingdom ,8/5/2015,9.2
180497,Suites H tel Helzear Montparnasse, Australia ,12/26/2015,6.7
257953,Sydney House Chelsea, United Kingdom ,1/17/2017,8.3
29293,Thistle Kensington Gardens, United Kingdom ,7/28/2016,9.2
91095,InterContinental Paris Le Grand, Lebanon ,12/16/2016,9.2
403566,The Rookery, United Kingdom ,2/4/2017,9.2
121545,H tel Beauchamps, United Kingdom ,6/24/2016,9.2
150101,Park Grand London Kensington, United Kingdom ,5/30/2017,10.0
33681,H tel Regina Op ra Grands Boulevards, United Kingdom ,8/1/2017,9.6
254514,Hotel 82 London, United Kingdom ,4/25/2017,6.7
83886,Mercure London Kensington Hotel, United Kingdom ,3/17/2017,4.2
477058,LaGare Hotel Milano Centrale MGallery by Sofitel, United Kingdom ,4/14/2017,7.1
5505,Park Plaza County Hall London, United Kingdom ,3/14/2017,10.0
426953,Catalonia Born, United Kingdom ,1/31/2016,9.2
446556,Palais Hansen Kempinski Vienna, Czech Republic ,11/15/2015,9.2
271850,Apollo Hotel Amsterdam, Greece ,1/2/2016,10.0
260083,Victoire Germain, China ,3/7/2017,10.0
113788,Hilton London Metropole, Spain ,7/28/2016,9.6
19101,Grange St Paul s Hotel, United Kingdom ,12/30/2016,7.9
458935,The Tower A Guoman Hotel, United Kingdom ,7/26/2016,5.8
192805,St Martins Lane A Morgans Original, United Kingdom ,8/18/2016,9.2
395608,Hotel Beethoven Wien, Saudi Arabia ,7/30/2016,5.0
229518,Best Western Hotel Montmartre Sacr Coeur, United Kingdom ,9/29/2016,6.7
403332,Hotel Midmost, Czech Republic ,10/6/2016,10.0
514466,Holiday Inn London Kensington, United Kingdom ,11/21/2016,10.0
198437,Radisson Blu Edwardian New Providence Wharf, United Kingdom ,6/26/2017,9.2
